19
872 994
690 39 665
495 85 390
847 121 -101
305 715 746
346 154 -387
553 121 -666
708 236 -246
19 264 874
828 317 -626
863 329 -146
387 140 925
186 779 534
156 235 -361
797 862 696
544 706 -316
1 359 335
122 846 238
626 411 -252
338 46 -127
338 841 892
816 99 -709
454 517 -776
624 307 -948
537 189 -608
592 758 486
105 265 -663
516 362 -313
709 259 -862
164 222 769
827 527 -77
768 10 453
821 683 57
520 617 88
242 381 -777
112 755 -362
872 639 996
375 594 -963
671 237 944
834 174 -923
768 597 507
89 106 950
810 149 599
266 544 -965
833 445 266
308 459 -829
527 184 -840
281 786 -814
605 517 -962
685 628 -977
138 487 -148
565 563 810
184 869 -932
136 567 251
515 313 492
501 357 468
49 561 517
412 59 917
11 698 -557
753 723 817
184 797 209
819 630 -302
124 456 -42
377 20 705
507 59 546
116 588 -140
837 512 348
66 518 794
638 135 204
175 779 354
384 608 545
296 4 51
797 419 351
687 361 859
713 727 227
87 642 -968
119 683 116
486 300 862
198 194 97
326 299 445
329 614 -15
602 861 371
811 123 481
262 223 475
123 284 378
736 256 834
577 46 -790
607 323 -225
246 749 7
706 848 131
20 433 544
384 237 -122
137 106 -831
246 564 -989
294 333 799
69 792 374
39 434 -918
847 727 345
510 92 260
632 458 -638
106 808 -726
447 591 -585
852 862 -140
322 16 316
333 704 -258
379 657 330
549 637 -451
479 192 -545
174 517 252
804 174 -994
473 783 895
178 183 562
431 821 953
632 589 372
737 385 525
700 589 695
452 552 -747
351 235 993
588 785 -285
473 345 383
443 90 198
340 734 370
618 175 -863
188 146 -678
536 108 423
300 863 -287
648 282 83
420 434 -645
750 264 671
665 182 -986
157 245 985
619 594 -379
439 685 90
247 192 -826
449 846 473
674 61 198
61 544 792
507 582 -197
124 85 -780
448 467 160
403 603 1000
93 587 15
588 766 -770
524 694 319
567 862 -417
378 691 -240
412 749 -251
387 403 687
40 151 373
60 515 125
802 872 800
5 513 -404
166 492 -704
760 592 -946
526 288 -741
844 383 -941
763 652 466
635 84 -444
17 394 948
438 220 636
821 643 995
632 2 -273
234 803 669
55 763 -97
322 346 818
48 451 -747
689 3 625
71 726 158
46 751 -441
806 414 793
219 90 290
117 381 -194
125 775 -295
39 637 907
91 820 425
279 240 799
17 274 326
652 311 348
677 187 144
759 379 103
506 129 -49
291 32 684
703 368 -649
616 124 618
556 472 -596
496 120 -694
404 628 -46
100 63 -471
678 441 778
159 425 20
502 579 876
90 351 579
278 129 -817
774 224 -560
357 20 -920
323 638 815
810 84 14
272 519 643
607 174 -338
131 407 743
362 423 585
212 735 141
870 459 302
139 61 -558
812 129 -816
513 50 -759
832 145 -370
605 566 -245
656 129 249
103 852 -261
609 244 723
710 767 -925
28 162 -83
618 531 -866
551 313 -880
90 55 698
794 120 333
192 432 497
182 96 136
137 437 679
203 739 -793
54 69 -229
868 216 903
431 675 870
485 75 801
351 730 -961
779 670 -711
415 843 -748
767 197 -337
526 703 -21
352 772 910
742 835 388
719 355 118
123 511 705
497 236 -837
125 315 867
259 291 -336
5 670 281
574 453 -130
346 107 -585
742 481 513
566 458 781
215 275 -684
600 120 103
11 812 -187
538 184 -634
466 709 -57
480 725 33
20 205 981
778 494 53
170 127 -305
408 760 802
711 178 -609
253 855 -184
427 583 -213
693 717 -924
479 22 -826
700 191 311
67 61 -803
440 710 805
558 790 -884
683 774 408
322 706 -685
127 693 -834
203 487 635
550 90 971
468 625 89
446 669 375
50 556 609
720 194 -372
331 9 940
71 767 383
27 498 279
567 370 997
395 336 -929
231 576 601
690 769 301
337 735 923
774 366 471
192 264 20
635 108 -815
181 445 -43
190 56 -301
777 37 708
487 759 127
771 354 -641
694 474 -940
126 655 462
242 387 -363
655 600 907
792 460 -923
133 579 143
453 419 -672
185 207 545
628 817 853
564 397 -368
288 179 -89
368 688 -791
24 13 430
36 824 443
486 57 69
405 268 368
683 81 -650
385 659 -385
488 539 -75
109 835 854
47 809 -305
53 676 -519
613 361 47
609 584 -158
819 609 718
852 492 429
418 452 286
13 838 158
791 767 421
819 742 -723
627 14 524
768 848 -407
651 740 73
480 42 -950
60 92 921
548 712 918
781 700 747
659 362 -60
500 695 -73
451 325 783
411 264 921
558 775 994
604 709 618
48 546 -96
67 401 481
790 239 -665
676 286 83
864 469 579
665 433 956
665 779 -182
230 431 -876
272 819 477
547 721 -943
67 158 -533
66 218 416
770 173 -536
411 74 -326
442 202 -472
537 167 -861
584 203 -338
547 465 189
757 377 880
165 152 -528
86 743 -488
129 679 903
751 86 -760
251 808 -344
573 448 -143
43 288 -210
90 562 279
357 213 250
399 207 923
88 64 374
478 449 -437
230 270 608
763 633 -743
605 169 680
160 779 -344
714 16 475
154 747 247
501 852 842
