17
856 917
13 38 720
18 413 -245
791 493 479
161 744 -267
299 425 97
829 269 -796
761 317 510
177 58 477
193 359 -74
489 638 304
334 143 376
3 305 -845
474 28 8
700 688 932
608 7 774
666 660 -822
670 169 -109
527 788 -505
192 208 -782
197 402 -585
673 401 799
571 128 214
183 313 402
507 285 168
739 766 803
514 106 -175
641 789 -750
797 336 66
120 446 -82
699 350 508
524 828 -71
345 538 -72
466 845 911
83 668 -386
568 211 770
350 84 635
789 402 -95
574 841 342
167 829 439
635 236 338
104 647 557
54 55 -754
120 131 -921
476 230 -912
266 831 -459
575 559 -622
830 387 986
11 824 -441
84 415 -187
223 168 600
382 521 -627
607 453 -767
747 302 828
362 770 -846
139 657 -193
65 680 603
126 408 5
473 322 -262
450 801 312
515 801 -62
115 492 -809
466 190 -690
296 499 395
659 815 -974
317 201 -53
306 44 -723
581 841 14
634 729 927
628 655 865
345 81 -709
736 700 803
351 29 -766
806 501 251
272 642 229
299 757 -666
80 315 774
570 552 -988
680 505 -344
616 488 -78
812 807 368
448 308 730
33 480 873
250 32 888
436 724 -645
298 387 -417
180 647 -704
721 341 852
713 336 89
741 58 -532
427 540 282
811 3 -340
669 167 701
656 157 905
797 578 584
724 39 -953
242 161 -631
702 371 -443
48 642 938
189 673 907
370 454 -906
88 780 408
731 64 526
602 547 601
299 33 764
216 855 -369
212 484 847
27 254 496
252 236 380
31 149 901
443 69 -934
416 599 200
555 477 654
408 323 985
402 487 -227
520 855 623
238 842 77
803 131 937
379 815 -438
679 46 -844
401 173 -696
851 235 363
14 619 -175
676 700 -425
753 344 -969
515 571 184
116 180 336
50 465 -840
793 73 -752
206 772 939
159 97 -817
472 232 -69
623 816 -450
636 801 -383
335 841 841
551 521 -310
317 694 -858
794 758 -43
641 763 -313
605 281 785
170 664 877
125 385 35
434 504 158
238 356 879
683 781 626
99 436 610
12 296 532
538 463 -355
576 738 773
647 333 -619
519 789 22
188 821 -720
178 288 246
206 567 -903
794 315 313
319 764 -182
711 752 -692
221 474 -125
653 16 -814
2 122 -775
844 337 781
126 167 -692
706 175 -813
698 700 -769
13 11 -438
184 177 587
639 387 941
324 25 -554
773 484 300
282 334 -616
579 741 -2
228 522 271
827 788 302
84 264 -629
179 81 -544
673 426 700
799 290 -214
536 690 -614
96 393 -863
811 414 254
467 582 -55
120 153 -20
263 604 11
630 427 -623
274 241 543
780 410 531
260 481 -292
420 693 699
728 504 229
633 431 -318
281 90 -881
506 547 -392
29 565 -77
53 692 -487
360 420 -999
820 853 814
387 527 -139
760 245 -661
170 843 -918
50 167 579
103 351 392
485 77 -73
214 301 -166
661 433 858
503 24 -462
344 439 -862
441 295 -294
482 613 -805
579 411 851
506 774 -690
83 54 638
363 523 -409
559 829 837
325 375 -234
92 639 809
171 149 -703
529 607 533
324 106 -622
292 190 -209
72 180 -162
256 512 211
361 676 84
762 198 358
170 711 768
429 852 589
358 401 -108
614 594 -462
791 476 490
138 708 -576
22 429 334
673 599 -851
117 551 -918
