19
872 933
174 848 -381
301 350 649
712 429 -685
771 45 35
176 372 296
5 305 -175
308 312 784
261 622 570
509 728 454
724 365 127
115 183 768
820 730 126
77 191 229
124 253 -392
549 10 170
92 551 386
478 423 -810
871 845 -552
359 565 -407
764 213 445
414 309 -43
670 493 19
486 91 358
478 564 568
532 616 991
421 232 572
718 235 -463
168 521 648
153 450 903
820 832 -832
47 808 -909
520 348 -993
840 412 217
739 840 164
783 84 227
361 781 439
481 491 -482
176 799 -610
23 755 157
751 350 753
154 801 -924
415 281 146
777 523 -400
482 799 814
152 606 681
469 658 887
146 815 522
853 311 -799
378 510 -792
544 184 468
431 255 -437
662 4 100
672 178 -679
200 732 -996
276 31 -833
798 20 153
541 342 -873
189 809 -47
56 444 528
794 657 572
300 420 583
661 741 902
32 313 421
836 210 4
360 16 -187
247 228 -775
610 645 -932
3 765 -529
30 443 351
294 48 -390
475 669 889
521 767 -150
520 233 503
578 547 74
701 695 -662
327 254 873
612 580 693
414 776 -89
515 431 627
230 781 -343
105 782 -808
561 376 -839
657 783 189
522 306 400
284 62 -133
376 343 -931
546 797 312
776 444 748
275 354 558
663 154 337
309 262 827
232 699 220
613 6 802
638 777 873
203 482 -560
261 87 -217
39 784 -847
164 687 -815
500 111 -88
588 379 -941
857 399 593
735 41 597
281 490 -128
714 815 -50
135 769 -129
706 803 -581
190 679 -595
118 720 -685
153 748 399
167 241 -960
218 312 580
445 132 -326
857 323 -706
437 357 347
540 337 -534
310 300 673
444 633 -861
421 798 -325
429 34 310
714 768 -45
20 380 -369
708 555 -3
478 192 -564
178 209 940
402 65 167
341 154 283
800 604 326
94 95 -832
380 459 988
100 859 -545
482 479 -104
276 498 427
455 220 -702
358 387 -424
570 766 690
311 604 -532
362 223 -30
424 846 635
250 866 257
101 87 294
397 485 -535
351 769 180
65 724 410
653 417 322
712 711 0
351 336 617
728 365 318
347 749 586
781 191 -528
83 332 450
593 757 360
863 12 146
340 10 -75
16 855 33
771 750 408
271 351 420
673 259 958
574 604 211
549 260 807
668 814 315
147 232 249
430 84 408
454 27 562
151 565 23
555 656 479
32 25 382
121 362 77
72 63 -899
19 302 352
420 209 573
799 215 460
802 604 393
33 430 942
138 384 946
217 721 975
549 498 39
57 765 103
100 326 704
804 558 561
318 700 283
552 171 919
859 322 835
35 712 150
798 654 -226
631 566 499
256 448 -730
470 762 562
290 32 761
194 701 -473
291 265 -172
3 729 -746
528 94 -499
179 713 184
456 779 658
844 390 93
150 397 148
363 437 -926
306 600 -64
389 826 -627
191 445 447
90 113 -519
496 396 56
319 78 408
184 600 -569
257 371 -941
122 250 -681
438 240 -871
737 683 846
392 371 -987
447 375 -994
404 746 9
713 406 228
53 536 -983
778 632 392
747 169 -45
544 24 901
702 54 546
587 842 -912
705 70 757
108 273 -664
586 122 224
224 569 390
491 81 -598
433 326 583
42 83 -732
220 3 203
13 454 68
755 397 216
786 304 -89
398 266 232
290 506 -843
773 109 356
295 769 751
78 121 -901
100 861 -846
659 655 -334
807 513 807
824 37 -544
