8321 26099
627 3134 -496
1608 2416 -775
994 5207 677
3519 3378 452
6926 753 492
3704 37 657
1988 1440 -158
4924 8319 617
2954 1907 374
1992 2157 -139
3360 6788 -699
2910 6353 -444
8194 1643 355
5264 1971 718
3282 645 -915
2132 1799 396
1777 3111 215
7570 8192 630
3899 977 -107
6389 713 942
2764 4445 -339
7115 1731 -228
2959 3555 623
1065 6062 330
1376 6788 124
4188 7632 -509
2988 2864 -842
4024 3933 -606
5738 1980 -251
4105 1368 208
3283 3769 222
4440 2750 -767
7495 5101 64
116 7592 -954
3634 7196 465
6274 1195 -687
7945 7692 -419
2760 6128 854
1444 4298 -205
7814 4143 -471
1373 1879 -900
4188 725 -31
2786 4007 -846
1186 7478 -472
7541 8123 -994
309 5365 290
5012 2215 232
8081 5175 913
982 4320 -840
1727 7382 -327
4038 213 -726
6289 3025 -462
7227 5304 912
7057 5108 -153
2426 3301 59
5452 5747 -2
7770 3095 887
7497 2941 -18
1347 3458 -516
7435 8167 -603
5459 8236 871
809 8091 -9
349 6578 -261
7591 7281 -861
3544 5900 171
6965 945 -695
4351 6581 -345
1376 4468 -620
3788 1649 536
6241 1461 118
2065 5117 -267
5522 1572 -953
4470 255 -326
7239 5800 299
1761 4757 55
8037 4342 921
5394 2530 -786
2392 2526 529
5633 227 228
1048 3224 -346
5813 6426 -428
889 4735 397
5621 2964 18
4433 6566 -821
520 2708 543
4090 2363 293
7285 2258 970
6508 5497 -389
3108 5162 -848
2489 7076 -145
1346 5441 -999
5214 8074 441
7850 3647 743
3029 692 -282
7772 4231 474
3275 4410 537
3055 3416 565
273 6774 -119
1569 1048 934
3681 2619 890
4376 7373 -604
3871 2636 -505
4456 7930 94
252 2262 663
5053 2518 -757
5072 2400 -515
7061 559 -436
2682 5996 -711
204 7078 675
4458 2953 -874
6670 1522 553
8103 7377 -248
2012 5111 640
1622 4712 9
7950 4274 573
1918 2438 772
8124 2308 330
7324 2230 320
2082 1692 562
5021 788 510
495 2842 421
3750 422 617
554 3522 352
7565 8295 -387
81 8047 -587
979 5477 296
2496 4064 857
7058 6099 -871
6778 2540 -429
5909 606 -503
983 1115 117
2619 3159 731
7430 2394 427
2223 3809 -973
1197 5848 -536
375 4572 -166
3976 6723 934
4322 7013 -56
729 2253 -712
3872 5949 -552
40 4180 672
3072 8141 -907
4977 5991 -493
6057 1295 -924
5887 4495 797
1585 6570 555
1396 2890 -417
2858 5748 306
5284 7095 -827
3917 7151 -382
2886 3288 552
7641 4308 -154
5082 2601 -707
1868 3833 -281
7975 2839 -967
1943 5822 -180
2369 7494 456
5182 4403 -141
8081 1831 122
8280 4516 -521
1410 756 -384
5968 1265 120
2080 2491 -322
3040 5178 -263
3960 7790 -798
4912 305 366
2631 3348 387
16 8245 -530
4155 6114 -461
6052 4092 320
1607 218 -301
5755 2202 113
3837 1007 -201
5997 1657 55
1567 1790 -138
5715 5596 -867
6907 97 545
8076 382 988
6495 6050 578
3434 5398 6
2302 4811 -664
3470 6670 227
5136 2891 426
4194 1269 -575
7033 2378 -467
6792 7511 -128
3378 5568 -448
1577 6876 -550
3117 5355 611
3921 2151 -324
7934 7782 137
7170 6158 283
1740 5718 519
4756 5957 924
6142 1864 65
483 340 -177
5700 3829 871
2233 5591 -26
2089 4151 -576
7866 7806 -641
1154 7323 -399
1220 3055 238
5464 2363 650
6384 3919 647
8113 6602 -529
5401 3103 127
5829 6133 342
4780 3886 660
867 5448 -636
2376 2712 102
4252 5374 -579
130 3952 724
1816 2808 633
1983 5901 190
4999 4516 613
532 742 262
5592 6368 225
4708 147 -659
4044 5597 868
7372 4825 -50
802 329 -185
6292 6002 -703
4944 3082 -422
5758 7124 -89
5526 3365 813
4733 5321 84
2859 3476 40
6459 4624 291
2454 2818 890
15 4068 34
4914 7265 -693
7566 2159 342
1293 3650 660
1874 6561 141
5212 4541 -344
6153 1044 -407
4125 1520 -949
1354 4140 -369
6827 980 737
5920 654 33
7930 5785 567
3210 466 -318
8035 411 358
6826 8217 133
5582 5142 497
814 3280 -740
4128 1602 -820
1596 7946 -457
7362 7643 957
6949 7769 237
4302 6870 192
2002 245 -782
2797 3339 -448
4797 5945 -940
931 1421 330
1896 4533 -958
2476 2983 -134
5702 746 -877
7173 2588 -987
6250 7495 836
4205 6784 29
2513 4266 600
1559 3542 677
6922 4427 -79
2988 7122 543
3165 203 -838
1099 7574 527
529 4953 251
109 2893 -762
1372 2187 -499
3693 6710 207
4598 3665 -124
2794 3556 -224
733 4887 -472
7716 1387 -908
6355 4752 104
4645 2259 510
3522 3307 144
7739 6902 711
5867 2849 -569
1583 1051 140
6499 3398 777
295 6980 -619
3769 8259 667
4663 142 501
2998 1495 911
473 1864 -629
1478 153 -192
69 1273 33
5599 213 559
8125 6233 943
5721 1512 -446
7579 5681 -21
1018 7458 322
3824 6646 -30
7197 3783 -863
2898 8300 -134
6295 7857 700
5171 1782 -125
6188 4543 619
7695 1948 111
1410 3623 -378
1809 5966 -704
2957 4565 587
6648 6178 -122
7580 3279 -297
6759 5377 -819
675 5337 322
8000 2972 747
1007 1122 223
6786 6096 784
3682 1578 56
138 4272 492
972 3098 -800
6239 3753 34
7547 884 -453
1072 741 -729
6816 5335 268
5570 3998 646
567 5371 244
6450 2041 -418
8201 5436 997
7992 4129 -624
7985 6959 799
7678 8286 977
7602 8320 -976
6626 4553 -963
7273 2293 -692
3378 3106 -40
7680 3821 -529
4327 8102 580
7696 1970 778
5785 1084 534
5387 2815 -781
1533 7737 206
6783 189 -603
6082 2109 -947
6487 6645 -782
328 8296 925
4089 4684 -753
5312 6378 857
3603 350 113
246 5083 -490
7878 3328 -563
592 4518 -449
5212 3269 -578
5501 4921 -552
546 7096 -582
8063 594 328
198 2220 -397
108 6983 234
7331 8008 -686
1946 320 -956
2304 5949 -340
2195 2518 185
863 3400 -656
4868 2868 -714
4793 6828 697
4471 2085 -507
436 6645 -402
2597 3267 543
2224 6080 166
897 2038 -52
6799 7398 827
7020 3730 -877
5744 2775 -305
333 6235 786
23 2945 -794
4213 5403 -279
3156 5631 -140
4047 1905 -946
2828 8172 607
2605 7110 -293
6345 8250 358
3110 5879 228
1291 6523 -386
2383 4852 728
6561 54 -977
4025 1913 534
2598 6829 -769
6277 7012 906
7534 6216 340
6096 2250 239
3251 7339 925
4630 7673 -957
7055 3131 -473
1974 4652 -447
8282 6398 421
2332 7090 -252
7596 3857 -263
1070 4679 -421
7123 6732 -336
6120 7459 266
2888 5121 216
3149 6066 869
2418 7554 158
2094 7354 982
3356 1831 -390
765 1408 962
8193 5644 162
6294 6552 664
122 2797 677
3605 2306 -463
5075 1406 876
3675 5997 810
6086 6155 798
2545 5858 740
2195 5674 800
730 2394 282
2942 3653 157
5190 1377 -40
754 6733 -981
6220 1145 -527
5348 400 -922
8298 8259 -427
5765 7707 246
7542 6870 816
700 5332 276
2319 5967 129
2013 4781 140
186 4506 -747
8170 3402 802
3948 6427 -127
7234 4781 526
3157 2635 509
4697 6627 -367
5154 3476 -833
266 6677 -458
4193 2934 599
