937 2647
732 32 985
23 445 449
657 689 614
814 722 63
317 482 635
84 654 535
851 912 677
133 402 200
665 76 756
762 482 46
336 600 795
731 374 603
847 145 1
103 354 766
110 269 309
253 278 630
466 756 588
112 364 274
551 90 190
169 524 529
436 517 966
54 347 45
273 497 61
267 908 863
402 163 997
724 463 135
755 447 872
683 339 338
318 625 879
587 469 656
703 625 746
876 409 747
924 351 503
253 680 12
51 642 223
835 356 534
752 73 912
930 460 982
715 752 807
896 818 32
385 287 786
333 181 625
129 567 168
218 325 992
314 275 877
46 790 468
322 667 417
45 527 89
526 427 697
805 517 985
690 197 524
287 16 809
641 78 78
501 338 513
348 330 809
235 361 567
334 410 910
227 595 146
737 318 729
909 784 555
484 356 517
767 358 669
824 801 543
932 728 316
251 627 855
331 196 96
396 284 327
697 927 217
393 606 546
556 303 39
135 306 930
909 260 748
248 589 719
620 426 401
111 68 677
589 781 945
142 620 410
161 296 71
449 861 429
315 835 116
146 845 826
565 91 34
551 217 54
520 191 429
452 502 859
619 813 962
300 728 604
695 682 656
792 711 83
192 752 414
852 392 174
397 934 395
801 451 275
843 722 141
860 693 898
483 244 667
379 819 258
241 466 833
495 558 975
270 27 114
463 637 657
181 355 510
764 616 897
898 246 117
202 603 161
906 277 788
47 227 16
18 595 268
650 73 201
894 155 59
175 523 555
532 98 817
215 201 734
740 708 575
793 13 563
280 618 604
812 579 339
153 780 586
843 253 202
74 614 97
598 581 477
454 841 183
924 878 544
480 234 10
164 87 242
504 754 847
546 254 386
114 37 341
319 361 688
788 133 492
118 16 392
591 204 672
54 332 606
728 480 131
931 861 791
877 707 456
915 145 933
521 535 539
655 687 6
149 674 451
305 738 429
481 443 716
333 127 846
848 116 259
162 901 92
555 540 671
795 626 405
923 275 663
76 817 233
279 46 824
152 123 187
199 117 932
357 91 557
623 275 53
626 580 786
911 884 114
254 599 579
599 12 702
764 732 254
817 701 872
211 152 764
426 730 537
472 87 425
849 799 170
225 60 756
25 677 322
860 577 559
803 732 787
281 206 424
251 603 209
375 696 899
57 455 464
613 869 478
185 154 350
353 142 569
831 638 122
870 700 123
825 934 391
363 175 484
120 846 137
602 796 400
319 559 409
735 494 237
417 362 813
841 325 922
167 916 558
455 155 536
402 861 937
298 43 421
937 443 925
168 477 308
364 569 182
784 339 387
20 786 482
33 28 674
447 284 867
874 630 143
676 339 760
694 86 321
684 269 705
650 532 819
791 816 587
104 794 231
339 440 804
4 355 133
376 853 836
935 927 693
473 29 72
144 236 27
669 792 745
305 42 386
265 693 565
471 744 23
55 575 976
656 76 814
331 237 707
401 70 137
387 886 569
38 111 962
351 1 638
585 29 393
569 651 188
720 7 60
603 38 974
110 679 951
669 818 989
771 819 217
741 923 141
150 845 82
490 307 99
103 331 171
24 181 791
741 225 47
44 885 542
136 213 640
513 291 946
748 779 991
408 310 944
261 359 654
409 208 134
193 501 621
316 1 797
619 434 514
381 171 380
349 28 95
33 320 778
517 698 730
886 903 440
24 693 409
327 379 103
685 462 951
320 259 820
277 589 485
107 556 663
619 420 742
474 787 57
91 764 656
565 901 186
686 762 952
8 290 816
699 88 109
881 468 147
282 231 976
21 469 160
808 402 431
599 838 401
536 856 57
786 302 50
242 536 316
503 622 777
311 198 19
354 250 995
213 623 32
277 695 90
329 177 112
480 302 410
912 660 477
143 175 228
907 779 437
387 361 734
338 570 585
301 603 290
544 809 102
343 155 833
629 227 264
868 792 690
370 278 439
558 253 331
671 224 632
858 143 249
821 724 653
373 173 77
448 792 710
910 16 500
707 253 353
110 674 7
104 80 619
924 144 80
345 189 35
570 515 894
899 287 118
907 492 610
407 569 762
829 260 426
475 805 229
204 16 833
612 736 373
177 370 494
915 616 277
597 281 265
462 58 604
712 356 771
445 700 757
177 688 863
706 43 842
378 397 642
145 257 642
222 306 973
341 252 499
379 749 180
857 356 90
869 450 414
406 561 10
679 605 11
554 361 167
655 61 839
298 378 306
588 698 774
606 25 53
299 881 220
508 192 66
818 329 537
868 750 799
335 446 999
696 755 345
329 816 975
496 174 453
157 791 233
120 612 879
254 184 914
454 35 303
329 806 359
124 7 620
43 635 124
182 877 914
773 122 281
119 275 793
591 758 361
89 277 501
